Year, Title, Date_Granted, Date_Argued, Date_Decided
2020, "Niz-Chavez v. Garland", 2020-06-07, 2020-11-08, 2021-04-28
2020, "CIC Services, LLC v. Internal Revenue Service", 2020-05-03, 2020-11-30, 2021-05-16
2020, "Edwards v. Vannoy", 2020-05-03, 2020-12-01, 2021-05-16
2020, "Johnson v. Guzman Chavez", 2020-06-14, 2021-01-10, 2021-06-28
2020, "Henry Schein Inc. v. Archer and White Sales Inc.", 2020-06-14, 2020-12-07, 2021-01-24
2020, "Collins v. Yellen", 2020-07-08, 2020-12-08, 2021-06-22
2020, "AMG Capital Management, LLC v. Federal Trade Commission", 2020-07-08, 2021-01-12, 2021-04-21
2020, "Facebook, Inc. v. Duguid", 2020-07-08, 2020-12-07, 2021-03-31
2020, "Uzuegbunam v. Preczewski", 2020-07-08, 2021-01-11, 2021-03-07
2020, "Department of Justice v. House Committee on the Judiciary", 2020-07-01, 0, 0
2020, "Federal Republic of Germany v. Philipp", 2020-07-01, 2020-12-06, 2021-02-02
2020, "Nestlé USA, Inc. v. Doe I", 2020-07-01, 2020-11-30, 2021-06-16
2020, "Republic of Hungary v. Simon", 2020-07-01, 2020-12-06, 2021-02-02
2020, "Texas v. New Mexico", 0, 2020-10-04, 2020-12-13
2020, "Garland v. Dai", 2020-10-01, 2021-02-22, 2021-05-31
2020, "BP P.L.C. v. Mayor and City Council of Baltimore", 2020-10-01, 2021-01-18, 2021-05-16
2020, "FCC v. Prometheus Radio Project", 2020-10-01, 2021-01-18, 2021-03-31
2020, "Brnovich v. Democratic National Committee", 2020-10-01, 2021-03-01, 2021-07-01
2020, "United States v. Arthrex, Inc.", 2020-10-12, 2021-02-28, 2021-06-20
2020, "Mayorkas v. Innovation Law Lab", 2020-10-18, 0, 0
2020, "Trump v. Sierra Club", 2020-10-18, 0, 0
2020, "Lange v. California", 2020-10-18, 2021-02-23, 2021-06-22
2020, "Carr v. Saul", 2020-11-08, 2021-03-02, 2021-04-21
2020, "Cedar Point Nursery v. Hassid", 2020-11-12, 2021-03-21, 2021-06-22
2020, "Roman Catholic Diocese of Brooklyn v. Cuomo", 0, 0, 2020-11-24
2020, "Trump v. New York", 2020-09-21, 2020-11-29, 2020-12-17
2020, "Caniglia v. Strom", 2020-11-19, 2021-03-23, 2021-05-16
2020, "Goldman Sachs Group Inc. v. Arkansas Teacher Retirement System", 2020-12-10, 2021-03-28, 2021-06-20
2020, "TransUnion LLC v. Ramirez", 2020-12-15, 2021-03-29, 2021-06-24
2020, "National Collegiate Athletic Association v. Alston", 2020-12-15, 2021-03-30, 2021-06-20
2020, "Shinn v. Kayer", 2020-12-13, 0, 2020-12-13
2020, "Americans for Prosperity v. Bonta", 2021-01-07, 2021-04-25, 2021-06-30
2020, "Greer v. United States", 2021-01-07, 2021-04-19, 2021-06-13
2020, "Mahanoy Area School District v. B.L.", 2021-01-07, 2021-04-27, 2021-06-22
2020, "Sanchez v. Mayorkas", 2021-01-07, 2021-04-18, 2021-06-06
2020, "San Antonio v. Hotels.com, L.P.", 2021-01-07, 2021-04-20, 2021-05-26
2020, "Guam v. United States", 2021-01-07, 2021-04-25, 2021-05-23
2020, "Minerva Surgical, Inc. v. Hologic, Inc.", 2021-01-07, 2021-04-20, 2021-06-28
2020, "United States v. Gary", 2021-01-07, 2021-04-19, 2021-06-13
2020, "HollyFrontier Cheyenne Refining LLC v. Renewable Fuels Association", 2021-01-07, 2021-04-26, 2021-06-24
2020, "Yellen v. Confederated Tribes of the Chehalis Reservation", 2021-01-07, 2021-04-18, 2021-06-24
2020, "Terry v. United States", 2021-01-07, 2021-05-03, 2021-06-13
2020, "United States v. Palomar-Santiago", 2021-01-07, 2021-04-26, 2021-05-23
2020, "Cochran v. Gresham", 2020-12-03, 0, 0
2020, "United States v. Cooley", 2020-11-19, 2021-03-22, 2021-05-31
2020, "Florida v. Georgia", 2013-10-03, 2021-02-21, 2021-03-31
2020, "PennEast Pipeline Co. v. New Jersey", 2021-02-02, 2021-04-27, 2021-06-28
2021, "Wooden v. United States", 2021-02-21, 2021-10-03, 2022-03-06
2021, "Department of Homeland Security v. New York", 2021-02-21, 0, 0
2021, "American Medical Association v. Cochran", 2021-02-21, 0, 0
2021, "Thompson v. Clark", 2021-03-07, 2021-10-11, 2022-04-03
2021, "Babcock v. Kijakazi", 2021-02-28, 2021-10-12, 2022-01-12
2021, "United States v. Vaello-Madero", 2021-02-28, 2021-11-08, 2022-04-20
2021, "United States v. Tsarnaev", 2021-03-21, 2021-10-12, 2022-03-03
2021, "Servotronics, Inc. v. Rolls-Royce PLC", 2021-03-21, 0, 0
2021, "Cameron v. EMW Women’s Surgical Center", 2021-03-28, 2021-10-11, 2022-03-02
2021, "Brown v. Davenport", 2021-04-04, 2021-10-04, 2022-04-20
2021, "Hemphill v. New York", 2021-04-18, 2021-10-04, 2022-01-19
2021, "Houston Community College System v. Wilson", 2021-04-25, 2021-11-01, 2022-03-23
2021, "United States v. Zubaydah", 2021-04-25, 2021-10-05, 2022-03-02
2021, "New York State Rifle & Pistol Association Inc. v. Bruen", 2021-04-25, 2021-11-02, 2022-06-22
2021, "Dobbs v. Jackson Women's Health Organization", 2021-05-16, 2021-11-30, 2022-06-23
2021, "Shinn v. Ramirez", 2021-05-16, 2021-12-07, 2022-05-22
